Year,Region,SiteCode,Meadow,MonthlyMeanTemp_June,Latitude,Longitude,Density,CanopyHeight,DensityLog,site_unique_code,Epifauna_large,Ampithoid_large,Lacuna_large,Idoteid_large,Richness_large
2019,AK,A,AK_A,11.8879,55.49666066666666,-133.16919683333333,665.5,0.4033333333333333,2.823148059810694,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29
2020,AK,A,AK_A,11.0911,55.49666066666666,-133.16919683333333,811.3333333333334,0.3569,2.909199319174384,NA,NA,NA,NA,NA,NA
2021,AK,A,AK_A,11.190166666666666,55.49666066666666,-133.16919683333333,881.5,0.3580333333333333,2.945222316635341,AK.A.2021,0.35399507460962687,-1.8849566616207074,-0.13858499372787467,-0.9431776706619455,28
2019,AK,B,AK_B,11.4032,55.73959433333333,-133.31216516666666,214.83333333333334,0.7422666666666666,2.3321016669697596,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25
2020,AK,B,AK_B,10.893933333333331,55.73959433333333,-133.31216516666666,237.83333333333334,1.1949,2.376272722731003,NA,NA,NA,NA,NA,NA
2021,AK,B,AK_B,11.105,55.73959433333333,-133.31216516666666,324,0.6803666666666667,2.510545010206612,AK.B.2021,-0.3993719899430532,-2,-1.152995650193663,-1.6132784508150024,23
2019,AK,C,AK_C,11.417366666666666,55.7073165,-133.34251333333333,343,0.6308666666666667,2.5352941200427703,AK.C.2019,-0.3483636623723932,-2,-1.333975545166987,-1.5300235798889943,23
2020,AK,C,AK_C,10.872433333333332,55.7073165,-133.34251333333333,271,0.8586,2.432969290874406,NA,NA,NA,NA,NA,NA
2021,AK,C,AK_C,11.075566666666669,55.7073165,-133.34251333333333,441.1666666666667,0.8318666666666666,2.6446026909177047,AK.C.2021,-0.4583935887960231,-1.9597500244941954,-1.658459596740773,-1.685492208318503,20
2019,AK,D,AK_D,12.039833333333334,55.24895733333334,-132.88134416666668,134.66666666666666,0.5768833333333333,2.1292601103909425,AK.D.2019,0.20245468757655863,-1.6518995554396954,-0.3548649573404017,-1.1152124516962074,22
2020,AK,D,AK_D,11.120333333333331,55.24895733333334,-132.88134416666668,116.5,0.6595,2.0663259253620376,NA,NA,NA,NA,NA,NA
2021,AK,D,AK_D,11.184133333333332,55.24895733333334,-132.88134416666668,89.33333333333333,0.6697333333333334,1.9510135393091264,AK.D.2021,0.3264484837793856,-1.9385388173770104,-1.424769353004219,-1.1230242511996362,26
2019,AK,E,AK_E,11.770533333333333,55.59756466666666,-133.16293766666666,485.5,0.3986,2.6861892342440234,AK.E.2019,0.5106119166075113,-2,-0.12021065630862618,-1.1284570513293721,22
