Meter,SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Blade,LongestBladeLength,LongestBladeWidth,SheathLength,ScannedBladeLength,ScannedBladeWidth,PrevalenceHand,GrazingScars,BrokenTip,EpiphyteDryMass,BladeAreaHand,Notes,Year,NumberLeaves,Prevalence,LesionArea,HealthyArea,BladeArea,Severity,EpiphytePerAreagcm2,EpiphytePerAreamgcm2,CanopyHeight,Epifauna_all,Epifauna_large,TempAnomWarm_April,TempAnomWarm_May,EpiphytePerAreaMeadowMg,TempAnomWarm_June,MonthlyMeanTemp_June,DensityLog,Ampithoid_all,Ampithoid_large,Lacuna_all,Lacuna_large,Idoteid_all,Idoteid_large,Latitude,Richness_all,Richness_large,TidalHeightBinary,YearBinary,Meadow
m4,2019-07-14,AK.A.1.U.16,AK,A,U,1,16,134,2,52,134,2,NA,0,Y,0.001,2.68,NA,2019,NA,0,0,0.570249472,2.68,0,3.7313432835820896e-4,0.373134328358209,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m8,2019-07-14,AK.A.1.U.17,AK,A,U,1,17,183,2,39,122,2,NA,0,Y,0.001,2.44,NA,2019,NA,1,0.289619136,1.888187328,2.44,0.118696367213115,4.098360655737705e-4,0.4098360655737705,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m12,2019-07-14,AK.A.1.U.18,AK,A,U,1,18,250,2,24,192,2,NA,1,N,0.004,3.84,NA,2019,NA,1,0.085753152,2.736406451,3.84,0.02233155,0.0010416666666666667,1.0416666666666667,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m16,2019-07-14,AK.A.1.U.19,AK,A,U,1,19,208,3,68,208,3,NA,2,Y,0.014,6.24,NA,2019,NA,1,0.66337344,3.540724275,6.24,0.106309846153846,0.0022435897435897434,2.2435897435897436,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m20,2019-07-14,AK.A.1.U.20,AK,A,U,1,20,188,2,27,150,2,NA,0,N,0.002,3,NA,2019,NA,0,0,3.356022413,3.356022413,0,5.959435766140099e-4,0.59594357661401,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m4,2019-07-14,AK.A.2.U.16,AK,A,U,2,16,219,3,53,219,3,NA,1,Y,0.003,6.57,NA,2019,NA,0,0,2.85574176,6.57,0,4.5662100456621003e-4,0.45662100456621,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m8,2019-07-14,AK.A.2.U.17,AK,A,U,2,17,243,2,35,208,3,NA,1,N,0.002,6.24,NA,2019,NA,0,0,3.128461952,6.24,0,3.205128205128205e-4,0.32051282051282054,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m12,2019-07-14,AK.A.2.U.18,AK,A,U,2,18,185,2,13,164,2,NA,0,N,0.003,3.28,NA,2019,NA,0,0,2.108053376,3.28,0,9.146341463414635e-4,0.9146341463414634,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m16,2019-07-14,AK.A.2.U.19,AK,A,U,2,19,288,2,71,288,2,NA,0,N,0.001,5.76,NA,2019,NA,1,0.092764416,3.718756448,5.76,0.0161049333333333,1.7361111111111112e-4,0.1736111111111111,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
m20,2019-07-14,AK.A.2.U.20,AK,A,U,2,20,214,2,30,214,2,NA,0,N,9.9999999999989e-4,4.28,NA,2019,NA,1,0.18696704,3.776662298,4.28,0.0436838878504673,2.3364485981305843e-4,0.23364485981305844,0.4033333333333333,0.4841842731501743,0.10015757423186153,9.395868686868692,6.768949494949493,0.43851705895969,16.668474747474903,11.8879,2.823148059810694,-1.8988459932827777,-1.9288483035925799,-0.07356584867887676,-0.6435969760621376,-0.7012560673759515,-0.717292022507621,55.49666066666666,29,29,1,0,AK_A
