Year,Region,SiteCode,TidalHeight,Transect,LongestBladeLengthMean,LongestBladeLengthSe,LongestBladeWidthMean,SheathLengthMean,SheathLengthSe,EpiphyteBladeAreaMean,EpiphyteDryMassMean,EpiphytePerAreaMean,EpiphytePerAreaSe,DensityShootsMean,DensityShootsSd,DensityShootsSe,PercentSeagrassMean,PercentBareMean,PercentOtherMean,PrevalenceMean,SeverityMean,LesionAreaMean,CountBlades,Percent,CountBrokenTip,BladeAreaMean,Meadow,TempAnomTot_January,TempAnomTot_February,TempAnomTot_March,TempAnomTot_April,TempAnomTot_May,TempAnomTot_June,TempAnomTot_July,TempAnomTot_August,TempAnomTot_September,TempAnomWarm_January,TempAnomWarm_February,TempAnomWarm_March,TempAnomWarm_April,TempAnomWarm_May,TempAnomWarm_June,TempAnomWarm_July,TempAnomWarm_August,TempAnomWarm_September,TempAnomCold_January,TempAnomCold_February,TempAnomCold_March,TempAnomCold_April,TempAnomCold_May,TempAnomCold_June,TempAnomCold_July,TempAnomCold_August,TempAnomCold_September,transect_unique_code,year,region,site_unique_code,epifauna_per_g_transect_all,epifauna_per_g_transect_large,ampithoid_per_g_transect_all,ampithoid_per_g_transect_large,lacuna_per_g_transect_all,lacuna_per_g_transect_large,idoteid_per_g_transect_all,idoteid_per_g_transect_large,epifauna_log_per_g_transect_all,epifauna_log_per_g_transect_large,ampithoid_log_per_g_transect_all,ampithoid_log_per_g_transect_large,lacuna_log_per_g_transect_all,lacuna_log_per_g_transect_large,idoteid_log_per_g_transect_all,idoteid_log_per_g_transect_large,richness_site_all,richness_site_large,GrazingScarsMeanTransect,CountScars,SampleCollectionDate,LocationName,SampleProcessingDate,Depth,Salinity,LocationComments,TransectBeginDecimalLatitude,TransectBeginDecimalLongitude,TransectEndDecimalLatitude,TransectEndDecimalLongitude,CanopyHeight,Structure,StructureLog,EpiphytePerAreaMeanMg,DensityLog
2019,AK,A,L,4,232.2,23.9027195105494,2.2,16,5.7706152185014,16.8917421738,0.0032,2.3338674880662e-4,9.64699860083151e-5,900,122.941720610485,30.7354301526214,1,0,0,1,0.307452347878686,6.03022457005,20,1,5,20.34997855255,AK_A,5.51065656565658,4.0778888888888805,16.78397979797979,4.195292929292941,3.710525252525242,11.947797979798205,6.431484848485001,6.9790101010099015,14.705010101009895,12.19968686868688,4.702121212121192,16.84966666666666,9.395868686868692,6.768949494949493,16.668474747474903,12.7590707070708,14.5062121212121,14.824939393939196,-6.689030303030299,-0.6242323232323113,-0.06568686868686946,-5.20057575757575,-3.058424242424251,-4.720676767676698,-6.327585858585799,-7.527202020202198,-0.11992929292929944,AK.A.L4.2019,2019,AK,AK.A.2019,0.25838528899233265,0.2353750954766052,0,0,0.03451529027359119,0.02301019351572746,0.10042990260150698,0.10042990260150698,-0.5713251350469033,-0.6130739177366039,-2,-2,-1.551102413892391,-1.625826947532693,-0.975219549530095,-0.975219549530095,29,29,0.4,5,2019-07-14,North Fish Egg,2019-07-14,NA,31.9,NA,55.496559,-133.168591,55.49661,-133.168829,248.2,2233.7999999999997,3.349044286602036,0.23338674880662003,2.9542425094393248
2019,AK,A,L,5,752.2,86.2834862531643,5.4,71.4,12.9946142689962,27.965931264,0.00860000000000001,3.3433037502867e-4,7.82158941370939e-5,542,147.603071332092,36.900767833023,0.9825,0.0175,0,0.7,0.0210143473404218,0.50444156832,20,1,11,29.24446766394,AK_A,5.51065656565658,4.0778888888888805,16.78397979797979,4.195292929292941,3.710525252525242,11.947797979798205,6.431484848485001,6.9790101010099015,14.705010101009895,12.19968686868688,4.702121212121192,16.84966666666666,9.395868686868692,6.768949494949493,16.668474747474903,12.7590707070708,14.5062121212121,14.824939393939196,-6.689030303030299,-0.6242323232323113,-0.06568686868686946,-5.20057575757575,-3.058424242424251,-4.720676767676698,-6.327585858585799,-7.527202020202198,-0.11992929292929944,AK.A.L5.2019,2019,AK,AK.A.2019,3.0485480764777595,1.0672424371668865,0.03497290825222846,0.0167636105848395,1.1127656813353588,0.149426808181006,0.20405470118317293,0.19495005234947843,0.4552515937448705,0.012688792156874,-1.3930759596966658,-1.5730898215554792,0.02642832168487088,-0.7975589793375494,-0.6821018466735856,-0.6975646099600528,29,29,0.6,5,2019-07-14,North Fish Egg,2019-07-14,NA,31.8,NA,55.496683,-133.169187,55.496747,-133.169413,823.6,4463.912,3.6497156244843807,0.33433037502866997,2.733999286538387
2019,AK,A,L,6,464.8,58.880726897687,2.4,110.4,13.4260939963937,10.6762666502,0.0044,4.9405861589479e-4,1.1781949353776e-4,545,111.349300252254,27.8373250630636,0.985,0.015,0,0.8,0.246129191236944,2.39704868926,20,1,7,12.1699859871,AK_A,5.51065656565658,4.0778888888888805,16.78397979797979,4.195292929292941,3.710525252525242,11.947797979798205,6.431484848485001,6.9790101010099015,14.705010101009895,12.19968686868688,4.702121212121192,16.84966666666666,9.395868686868692,6.768949494949493,16.668474747474903,12.7590707070708,14.5062121212121,14.824939393939196,-6.689030303030299,-0.6242323232323113,-0.06568686868686946,-5.20057575757575,-3.058424242424251,-4.720676767676698,-6.327585858585799,-7.527202020202198,-0.11992929292929944,AK.A.L6.2019,2019,AK,AK.A.2019,3.9544783530343226,1.390493349186495,0,0,2.1154811692208373,0.39833944694432694,0.1352699975281758,0.11253755833745065,0.5947162434476694,0.10307894995746424,-2,-2,0.3182408420206754,-0.6872375795093142,-0.8378370857549523,-0.918590053258503,29,29,0.4,5,2019-07-14,North Fish Egg,2019-07-14,NA,32,NA,55.496866,-133.169731,55.496945,-133.169942,575.2,3134.84,3.496215379651469,0.49405861589479005,2.7363965022766426
2019,AK,A,U,1,192.6,18.8138247041903,2.2,42,8.16700679563817,3.7112044826,0.0044,9.3283407616048e-4,3.4858362611477e-4,520,149.63065639545,37.4076640988626,0.4875,0.5125,0,0.45,0.0629562773643372,0.12453443072,20,1,4,3.60980196645,AK_A,5.51065656565658,4.0778888888888805,16.78397979797979,4.195292929292941,3.710525252525242,11.947797979798205,6.431484848485001,6.9790101010099015,14.705010101009895,12.19968686868688,4.702121212121192,16.84966666666666,9.395868686868692,6.768949494949493,16.668474747474903,12.7590707070708,14.5062121212121,14.824939393939196,-6.689030303030299,-0.6242323232323113,-0.06568686868686946,-5.20057575757575,-3.058424242424251,-4.720676767676698,-6.327585858585799,-7.527202020202198,-0.11992929292929944,AK.A.U1.2019,2019,AK,AK.A.2019,11.738161685908311,1.9771158554377095,0,0,3.279504969999013,0.3825534116099384,0.2717650223703363,0.2717650223703363,1.0150603222221537,0.26128356619376353,-2,-2,0.4767361240000299,-0.4230826117313527,-0.5567644173305815,-0.5567644173305815,29,29,0.4,5,2019-07-14,North Fish Egg,2019-07-14,NA,31.9,Note that the sampling dates are for the disease blades. Density and epifauna/macrofauna biomas were collected on the previous tidal cycle (7/1-7/5),55.496496,-133.168632,55.496536,-133.168877,234.6,1219.92,3.0863313514143096,0.93283407616048,2.716003343634799
2019,AK,A,U,2,229.8,17.2261429228948,2.2,40.4,9.95791142760368,5.226,0.00199999999999998,4.1980478846893e-4,1.3254004449391e-4,733,327.14318985219103,81.7857974630477,0.55,0.45,0,0.4,0.0297434438287951,0.06467621376,20,1,3,5.896,AK_A,5.51065656565658,4.0778888888888805,16.78397979797979,4.195292929292941,3.710525252525242,11.947797979798205,6.431484848485001,6.9790101010099015,14.705010101009895,12.19968686868688,4.702121212121192,16.84966666666666,9.395868686868692,6.768949494949493,16.668474747474903,12.7590707070708,14.5062121212121,14.824939393939196,-6.689030303030299,-0.6242323232323113,-0.06568686868686946,-5.20057575757575,-3.058424242424251,-4.720676767676698,-6.327585858585799,-7.527202020202198,-0.11992929292929944,AK.A.U2.2019,2019,AK,AK.A.2019,9.757579286107209,2.918599110412949,0,0,1.9870485452368436,0.44400336915870797,0.20912968375554591,0.20912968375554591,0.7927291092875693,0.4253085596754153,-2,-2,0.03448499964552962,-0.3831046184154536,-0.7173759659714347,-0.7173759659714347,29,29,0.4,5,2019-07-14,North Fish Egg,2019-07-14,NA,31.9,Note that Transect coords are from the start and end of upper and lower,55.496591,-133.169246,55.496646,-133.169482,270.2,1980.566,3.29678931932714,0.41980478846893,2.8651039746411278
2019,AK,A,U,3,241.8,38.3658702494808,1.68,26.4,10.4383906805599,3.81527687552,8.0000000000002e-4,2.1668774939865e-4,7.89725305562889e-5,753,77.7260145210941,19.4315036302735,0.8475,0.11,0.0275,0.4,0.10755979422707,0.24219692383,20,1,1,3.82249012703,AK_A,5.51065656565658,4.0778888888888805,16.78397979797979,4.195292929292941,3.710525252525242,11.947797979798205,6.431484848485001,6.9790101010099015,14.705010101009895,12.19968686868688,4.702121212121192,16.84966666666666,9.395868686868692,6.768949494949493,16.668474747474903,12.7590707070708,14.5062121212121,14.824939393939196,-6.689030303030299,-0.6242323232323113,-0.06568686868686946,-5.20057575757575,-3.058424242424251,-4.720676767676698,-6.327585858585799,-7.527202020202198,-0.11992929292929944,AK.A.U3.2019,2019,AK,AK.A.2019,6.474481059793513,3.2109013358542215,0,0,3.406141560135742,1.6820559388490726,0.36066407275011503,0.36066407275011503,0.6186735052456864,0.411659495144256,-2,-2,0.2538170344680246,0.05522888015353741,-0.4382375389950594,-0.4382375389950594,29,29,0,5,2019-07-14,North Fish Egg,2019-07-14,NA,31.9,NA,55.496769,-133.169794,55.496878,-133.169961,268.2,2019.546,3.3052537497162806,0.21668774939865001,2.8767949762007006
2019,AK,B,L,4,511,124.765780565025,4.6,56.8,18.6745816552875,23.2013561818,0.0044,3.9644599114785e-4,1.2858581287068e-4,295,68.303245408496693,17.0758113521242,0.78,0.2075,0.0125,0.2,0.0258014635186824,0.08455674272,20,1,4,19.81057464885,AK_B,15.91908080808081,6.495232323232313,13.204818181818194,5.43506060606062,1.1896363636363283,9.268939393939103,9.634232323232302,3.0363939393938946,11.6653838383839,15.91908080808081,6.884262626262624,13.352747474747485,8.85541414141415,6.144070707070671,12.9115252525251,15.3686161616161,11.550070707070596,11.7349797979799,0,-0.38903030303031105,-0.1479292929292901,-3.420353535353529,-4.954434343434342,-3.642585858585998,-5.734383838383799,-8.513676767676701,-0.06959595959600051,AK.B.L4.2019,2019,AK,AK.B.2019,0.4557534740009767,0.27982103205868253,0,0,0.10221070704170682,0.10221070704170682,0,0,-0.5100717851615462,-0.6329461904755664,-2,-2,-0.9950537429395572,-0.9950537429395572,-2,-2,26,25,0.2,5,2019-07-15,Guktu,2019-07-15,NA,32.8,NA,55.739951,-133.312189,55.739811,-133.31219,567.8,1675.01,3.224017404168001,0.39644599114785,2.469822015978163
2019,AK,B,L,5,723.2,85.1753485463957,5.6,226,35.9207460947013,36.202,0.003,9.28905378448602e-5,2.73233931337177e-5,240,42.8330090778907,10.7082522694727,0.6375,0.4125,0,0.05,0.0176006293564714,0.0121708352,20,1,3,30.78577441965,AK_B,15.91908080808081,6.495232323232313,13.204818181818194,5.43506060606062,1.1896363636363283,9.268939393939103,9.634232323232302,3.0363939393938946,11.6653838383839,15.91908080808081,6.884262626262624,13.352747474747485,8.85541414141415,6.144070707070671,12.9115252525251,15.3686161616161,11.550070707070596,11.7349797979799,0,-0.38903030303031105,-0.1479292929292901,-3.420353535353529,-4.954434343434342,-3.642585858585998,-5.734383838383799,-8.513676767676701,-0.06959595959600051,AK.B.L5.2019,2019,AK,AK.B.2019,0.3390658158673541,0.22385068048967632,0,0,0.04324852788355508,0.0192596587188475,0,0,-0.4859644364070579,-0.915730676787614,-2,-2,-1.2754120237609294,-1.657042658675277,-2,-2,26,25,0,5,2019-07-15,Guktu,2019-07-15,NA,32.6,NA,55.739603,-133.31217,55.739463,-133.312171,949.2,2278.0800000000004,3.3575689712569075,0.0928905378448602,2.380211241711606
2019,AK,B,L,6,713.2,114.887074991054,4.5,41,8.14861951498535,34.094,0.0052,2.2020250422649e-4,6.06219262983748e-5,240,44.7809483299911,11.1952370824978,0.68,0.3175,0.0025,0.1,0.00457726716269279,0.01530522976,20,1,2,33.40202820401,AK_B,15.91908080808081,6.495232323232313,13.204818181818194,5.43506060606062,1.1896363636363283,9.268939393939103,9.634232323232302,3.0363939393938946,11.6653838383839,15.91908080808081,6.884262626262624,13.352747474747485,8.85541414141415,6.144070707070671,12.9115252525251,15.3686161616161,11.550070707070596,11.7349797979799,0,-0.38903030303031105,-0.1479292929292901,-3.420353535353529,-4.954434343434342,-3.642585858585998,-5.734383838383799,-8.513676767676701,-0.06959595959600051,AK.B.L6.2019,2019,AK,AK.B.2019,1.327171016284883,0.5803446646352276,0,0,0.1664816870144284,0.11098779134295224,0.0202249008979856,0.0202249008979856,-0.05371108714131087,-0.3805674873706924,-2,-2,-1.232376128472023,-1.3172788628624157,-1.6485702678263707,-1.6485702678263707,26,25,0.2,5,2019-07-15,Guktu,2019-07-15,NA,32.5,NA,55.739255,-133.31221,55.739119,-133.312258,754.2,1810.0800000000002,3.2576977697812075,0.22020250422649001,2.380211241711606
2019,AK,B,U,1,539.6,53.4907468633595,5.1,41.2,8.66256313108308,28.778,0.0034,1.1837080373614e-4,3.33880680881923e-5,139,94.9596405497269,23.7399101374317,0.25,0.7,0.05,0.65,0.0292393234694195,0.5810450208,20,1,5,27.32850384865,AK_B,15.91908080808081,6.495232323232313,13.204818181818194,5.43506060606062,1.1896363636363283,9.268939393939103,9.634232323232302,3.0363939393938946,11.6653838383839,15.91908080808081,6.884262626262624,13.352747474747485,8.85541414141415,6.144070707070671,12.9115252525251,15.3686161616161,11.550070707070596,11.7349797979799,0,-0.38903030303031105,-0.1479292929292901,-3.420353535353529,-4.954434343434342,-3.642585858585998,-5.734383838383799,-8.513676767676701,-0.06959595959600051,AK.B.U1.2019,2019,AK,AK.B.2019,2.193216158039146,1.2499899962672865,0,0,0.5935768284659071,0.3392476533633883,0.03704526931910795,0.03704526931910795,0.3250078958726932,0.05840305674811988,-2,-2,-0.2192678745092846,-0.4601656621984176,-1.5376264328285494,-1.5376264328285494,26,25,1,5,2019-07-15,Guktu,2019-07-15,NA,32.8,NA,55.739933,-133.312145,55.739794,-133.312141,580.8000000000001,807.3120000000001,2.9070414079461324,0.11837080373614,2.143014800254095
2019,AK,B,U,2,701.4,22.5490576299765,5.2,107,30.4072359809306,34.56,0.0036,1.0703626123257e-4,9.28738523017951e-6,148,87.3307887670017,21.8326971917504,0.4875,0.5125,0,0.4,0.0159881309945926,0.22772945025,20,1,4,30.019125663,AK_B,15.91908080808081,6.495232323232313,13.204818181818194,5.43506060606062,1.1896363636363283,9.268939393939103,9.634232323232302,3.0363939393938946,11.6653838383839,15.91908080808081,6.884262626262624,13.352747474747485,8.85541414141415,6.144070707070671,12.9115252525251,15.3686161616161,11.550070707070596,11.7349797979799,0,-0.38903030303031105,-0.1479292929292901,-3.420353535353529,-4.954434343434342,-3.642585858585998,-5.734383838383799,-8.513676767676701,-0.06959595959600051,AK.B.U2.2019,2019,AK,AK.B.2019,1.351289252116235,0.8864442961357362,0,0,0.1905066449829281,0.1625627563113806,0,0,0.11032006470358252,-0.05595549037668556,-2,-2,-0.7454392741065645,-0.7920267463727705,-2,-2,26,25,0.6,5,2019-07-15,Guktu,2019-07-15,NA,32.4,NA,55.739585,-133.31212,55.739446,-133.312115,808.4,1196.432,3.0778880202382237,0.10703626123257,2.1702617153949575
2019,AK,B,U,3,696.2,104.508085811577,5.6,97,30.1214209492182,38.12176846328,0.0124,8.6926786475153e-4,7.6399979817136e-4,227,24.738633753706,6.18465843842649,0.7225,0.275,0.0025,0.35,0.0371770991338604,0.48259878432,20,1,6,33.26353446992,AK_B,15.91908080808081,6.495232323232313,13.204818181818194,5.43506060606062,1.1896363636363283,9.268939393939103,9.634232323232302,3.0363939393938946,11.6653838383839,15.91908080808081,6.884262626262624,13.352747474747485,8.85541414141415,6.144070707070671,12.9115252525251,15.3686161616161,11.550070707070596,11.7349797979799,0,-0.38903030303031105,-0.1479292929292901,-3.420353535353529,-4.954434343434342,-3.642585858585998,-5.734383838383799,-8.513676767676701,-0.06959595959600051,AK.B.U3.2019,2019,AK,AK.B.2019,0.8884791902760014,0.3094031382878404,0,0,0.1113675432715842,0.07919665149446413,0.01608544588856003,0.01608544588856003,-0.1697890802777659,-0.4959833856528224,-2,-2,-1.0467763661294869,-1.129538998912035,-1.6874936074865534,-1.6874936074865534,26,25,0.6,5,2019-07-15,Guktu,2019-07-15,NA,32.5,NA,55.739239,-133.312157,55.739104,-133.312224,793.2,1800.564,3.255408562726388,0.86926786475153,2.3560258571931225
2019,AK,C,L,4,503.8,76.3959423006222,4.2,165,27.8657495861855,21.516,0.003,1.6986739815381e-4,4.73028258970988e-5,185,65.6759722678951,16.4189930669738,0.9125,0.0875,0,0.48,0.0523968826491118,0.331331482624,25,1.25,10,22.450187298392,AK_C,16.121242424242432,7.1028181818181775,13.761010101010072,5.55344444444446,1.397686868686872,9.528515151514904,8.620333333333193,3.5535757575754108,11.583464646464998,16.121242424242432,7.359020202020199,13.8523737373737,9.15442424242424,5.65959595959599,12.8139696969695,14.207333333333295,11.314909090908904,11.668010101010395,0,-0.25620202020202143,-0.09136363636362964,-3.6009797979797797,-4.261909090909118,-3.2854545454545967,-5.587000000000103,-7.761333333333495,-0.08454545454539897,AK.C.L4.2019,2019,AK,AK.C.2019,0.6675239262499484,0.2720126208465367,0,0,0.09175694222187948,0,0.03478986919009184,0.03478986919009184,-0.17365282267899565,-0.7388657336062869,-2,-2,-1.003003257107072,-2,-1.5495987464690886,-1.5495987464690886,28,23,0,5,2019-07-16,Nossuk,2019-07-16,NA,32,NA,55.707282,-133.343143,55.70731,-133.342896,668.8,1237.28,3.0924679928339738,0.16986739815381,2.2671717284030137
2019,AK,C,L,5,686.2,150.521227738814,4.6,104,17.19302184027,34.3297789356,0.003,1.1741459389472e-4,3.08055873016723e-5,270,20.7846096908265,5.19615242270663,0.93,0.07,0,0.45,0.0222273469858787,0.2631345357,20,1,11,25.4251383158,AK_C,16.121242424242432,7.1028181818181775,13.761010101010072,5.55344444444446,1.397686868686872,9.528515151514904,8.620333333333193,3.5535757575754108,11.583464646464998,16.121242424242432,7.359020202020199,13.8523737373737,9.15442424242424,5.65959595959599,12.8139696969695,14.207333333333295,11.314909090908904,11.668010101010395,0,-0.25620202020202143,-0.09136363636362964,-3.6009797979797797,-4.261909090909118,-3.2854545454545967,-5.587000000000103,-7.761333333333495,-0.08454545454539897,AK.C.L5.2019,2019,AK,AK.C.2019,2.4685819050339326,0.6591465107940567,0,0,0.09819324430479184,0.09819324430479184,0.2244165368212666,0.12622329251647477,0.21678551404995955,-0.23199472434125615,-2,-2,-1.342659368915757,-1.342659368915757,-0.7875002357460477,-0.9326897672829796,28,23,0.6,5,2019-07-16,Nossuk,2019-07-16,NA,31.5,NA,55.707354,-133.342525,55.707385,-133.342278,790.2,2133.54,3.3291007895044147,0.11741459389471999,2.4313637641589874
2019,AK,C,L,6,615.6,50.0615621010771,4.6,203.2,11.4690888914508,27.592,0.0028,1.0705105454481e-4,2.18229713852249e-5,278,19.1833260932509,4.79583152331272,0.96,0.04,0,0.3,0.0244489178723389,0.2800937046,20,1,8,32.982391395,AK_C,16.121242424242432,7.1028181818181775,13.761010101010072,5.55344444444446,1.397686868686872,9.528515151514904,8.620333333333193,3.5535757575754108,11.583464646464998,16.121242424242432,7.359020202020199,13.8523737373737,9.15442424242424,5.65959595959599,12.8139696969695,14.207333333333295,11.314909090908904,11.668010101010395,0,-0.25620202020202143,-0.09136363636362964,-3.6009797979797797,-4.261909090909118,-3.2854545454545967,-5.587000000000103,-7.761333333333495,-0.08454545454539897,AK.C.L6.2019,2019,AK,AK.C.2019,0.2178570205362847,0.11595137672131386,0,0,0.02460472600076156,0,0.03516371909518008,0.03516371909518008,-0.6802036566256371,-0.9414097605603244,-2,-2,-1.4630804155250636,-2,-1.350601315604997,-1.350601315604997,28,23,0.4,5,2019-07-16,Nossuk,2019-07-16,NA,32.3,NA,55.707437,-133.34191,55.707499,-133.341684,818.8,2276.2639999999997,3.357222629908544,0.10705105454481,2.444044795918076
2019,AK,C,U,1,351,73.0869345368924,4.2,54.2,10.846197490365,11.6485431224,0.0016,1.4774424904416e-4,3.76566947441796e-5,421,134.278317932072,33.5695794830181,0.65,0.35,0,0.45,0.104896626155559,1.06488515855,20,1,4,24.2799587361,AK_C,16.121242424242432,7.1028181818181775,13.761010101010072,5.55344444444446,1.397686868686872,9.528515151514904,8.620333333333193,3.5535757575754108,11.583464646464998,16.121242424242432,7.359020202020199,13.8523737373737,9.15442424242424,5.65959595959599,12.8139696969695,14.207333333333295,11.314909090908904,11.668010101010395,0,-0.25620202020202143,-0.09136363636362964,-3.6009797979797797,-4.261909090909118,-3.2854545454545967,-5.587000000000103,-7.761333333333495,-0.08454545454539897,AK.C.U1.2019,2019,AK,AK.C.2019,3.127053761204861,1.3678530510877014,0,0,0.3094961633695858,0.16718792372251023,0.09603380389897244,0.09603380389897244,0.41185162590788926,0.07531633893432518,-2,-2,-0.5270483422065823,-0.7558899506514201,-1.3472516499769005,-1.3472516499769005,28,23,0.2,5,2019-07-16,Nossuk,2019-07-16,NA,31.3,NA,55.7072,-133.343125,55.707234,-133.342877,405.2,1705.8919999999998,3.231951532523911,0.14774424904416,2.6242820958356683
2019,AK,C,U,2,383,16.2080227048212,3.4,72.4,7.08237248385031,12.42084297108,0.00139999999999999,1.1636914030477e-4,1.44721168892355e-5,396,156.392668199845,39.0981670499611,0.5625,0.3625,0.075,0.7,0.0613793261195764,0.62323395367,20,1,2,15.42738130872,AK_C,16.121242424242432,7.1028181818181775,13.761010101010072,5.55344444444446,1.397686868686872,9.528515151514904,8.620333333333193,3.5535757575754108,11.583464646464998,16.121242424242432,7.359020202020199,13.8523737373737,9.15442424242424,5.65959595959599,12.8139696969695,14.207333333333295,11.314909090908904,11.668010101010395,0,-0.25620202020202143,-0.09136363636362964,-3.6009797979797797,-4.261909090909118,-3.2854545454545967,-5.587000000000103,-7.761333333333495,-0.08454545454539897,AK.C.U2.2019,2019,AK,AK.C.2019,2.819574645533595,2.0567113502943757,0.04579173917025368,0,0.3936095423051763,0.23187853542328177,0,0,0.31328063155370217,0.1756135002507433,-1.4965884602436423,-2,-0.4964316053841164,-0.6966643650029294,-2,-2,28,23,0.6,5,2019-07-16,Nossuk,2019-07-16,NA,31.4,NA,55.707282,-133.342503,55.707314,-133.342254,455.4,1803.3839999999998,3.256088212204636,0.11636914030477,2.597695185925512
